iter	Passed	Remaining
197	319	1295
198	321	1293
199	323	1292
200	324	1291
201	326	1290
202	328	1288
203	329	1286
204	331	1285
205	333	1283
206	335	1285
207	337	1283
208	338	1281
209	340	1279
210	342	1278
211	343	1276
212	344	1273
213	346	1271
214	347	1268
215	348	1265
216	350	1263
217	351	1260
218	352	1257
219	354	1255
220	355	1253
221	356	1250
222	358	1248
223	359	1246
224	361	1244
225	362	1241
226	363	1238
227	365	1236
228	366	1233
229	367	1231
230	369	1228
231	370	1226
232	371	1223
233	373	1221
234	374	1219
235	375	1216
236	377	1214
237	378	1212
238	379	1209
239	381	1207
240	382	1204
241	383	1202
242	385	1200
243	386	1197
244	387	1195
245	389	1193
246	390	1191
247	392	1189
248	393	1188
249	395	1186
250	396	1184
251	398	1182
252	399	1180
253	401	1177
254	402	1175
255	403	1173
256	405	1171
257	407	1170
258	408	1168
259	409	1166
260	411	1164
261	412	1162
262	413	1159
263	415	1157
264	416	1155
265	417	1153
266	419	1151
267	420	1149
268	422	1147
269	423	1145
270	424	1143
271	426	1140
272	427	1138
273	429	1136
274	430	1134
275	431	1132
276	433	1130
277	434	1128
278	437	1129
279	439	1129
280	440	1127
281	442	1125
282	443	1123
283	444	1121
284	446	1119
285	447	1117
286	449	1116
287	450	1114
288	452	1112
289	453	1110
290	455	1109
291	456	1107
292	458	1106
293	459	1104
294	462	1104
295	463	1103
296	465	1100
297	466	1098
298	467	1096
299	469	1094
300	471	1094
301	472	1091
302	473	1089
303	475	1087
304	476	1085
305	477	1083
306	479	1081
307	480	1079
308	482	1078
309	483	1076
310	484	1074
311	486	1072
312	488	1071
313	489	1069
314	491	1068
315	492	1066
316	494	1066
317	496	1064
318	498	1063
319	499	1061
320	501	1060
321	502	1059
322	504	1057
323	506	1057
324	508	1056
325	510	1054
326	511	1052
327	512	1050
328	514	1048
329	515	1046
330	517	1045
331	519	1044
332	520	1043
333	522	1041
334	523	1039
335	524	1037
336	526	1035
337	527	1033
338	528	1031
339	530	1029
340	531	1027
341	533	1025
342	534	1024
343	537	1024
344	538	1022
345	540	1021
346	541	1019
347	542	1017
348	544	1015
349	545	1013
350	547	1011
351	548	1009
352	550	1008
353	551	1007
354	553	1005
355	554	1003
356	556	1001
357	557	999
358	559	998
359	560	996
360	561	994
361	563	992
362	565	991
363	566	990
364	568	988
365	569	986
366	571	984
367	572	982
368	573	980
369	575	979
370	576	977
371	577	975
372	579	974
373	580	972
374	582	970
375	584	969
376	585	967
377	587	966
378	589	965
379	590	963
380	591	961
381	593	959
382	594	957
383	595	955
384	597	954
385	598	952
386	600	951
387	601	949
388	603	947
389	604	945
390	605	943
391	607	941
392	608	939
393	609	938
394	611	936
395	612	934
396	614	933
397	616	931
398	617	930
399	618	928
400	620	926
401	621	924
402	623	923
403	624	921
404	625	919
405	627	917
406	628	915
407	630	914
408	632	913
409	633	912
410	635	910
411	636	908
412	638	906
413	639	905
414	640	903
415	642	901
416	643	899
417	645	898
418	646	896
419	648	895
420	649	893
421	651	891
422	652	890
423	653	888
424	655	886
425	656	884
426	658	882
427	659	881
428	660	879
429	662	877
430	664	877
431	665	875
432	667	873
433	668	871
434	669	869
435	671	869
436	673	867
437	674	865
438	676	864
439	677	862
440	679	861
441	681	860
442	683	859
443	684	857
444	686	855
445	687	854
446	688	852
447	690	850
448	691	848
449	693	847
450	694	845
451	696	844
452	698	842
453	699	841
454	700	839
455	702	837
456	703	835
457	704	833
458	706	832
459	707	830
460	708	828
461	710	826
462	711	825
463	713	824
464	714	822
465	716	820
466	717	819
467	718	817
468	720	815
469	722	814
470	724	813
